ID|y
66373689d7044bcaabc7f4dde367c860|None
a17cf87b21b4482c8859c151b8268fc9|articleB
0bf215840cbb49ac85d0c38dcae4e9a6|articleC
cd5e2da035d445ef94d3dc8ca9b78ec7|articleC
2dc5ecdd4c90476fa67201a69f67f89a|articleB
3e52c20151bd489d84ef5bdc5f08ca72|None
0b11a07d29cb47dd9849eb3e45905774|None
9ad4d28f87ac496681ce50de246939a6|articleB
8296143e06b642bbbdd13e8fd036757d|None
de6f2cfd69f14c0883a4e60ced34751a|articleB
be4a2a918a7045728a3920f4fbef8707|articleC
da0165a271fe4839bcc73f0783c2dca2|articleB
06cb43c1daa14877b9a4603e164e15a1|None
5742be6f8c1e47e980c0fc222bc02d02|None
5aa4e4dea3914e9f988a2b832cd8a388|articleA
437794b4fd6c46b3a932b1ed94b97285|articleC
ec0f669aece4487d9152339e5d6aa59f|articleB
25ecbdd25c4c458d8ed94f30576daf2f|articleA
98dba27967804ea49e708bbcdb0371dc|articleA
708e122dedbc4750a60d33e0d5161f86|articleB
e5e5ec4ac9ae49268478d608a3bf154c|articleB
9b81479a24364341bf967be600793fc4|articleC
f3a0d0ea594641cf989a31e88be59321|None
7a2b2492e02d4f908faa492cfe8957f6|None
7de96b2568b24c2c8dd81f6c8fbda17a|None
d3831222e166423d92e578f482d99ae7|articleB
14c6e5496c3144b888f48dc00fb0a0b4|articleA
74957692018848679095a426b7ac804c|articleA
b45fcdad6bad490b83743b33099bccda|articleA
e0f0a8a89e6f4337878de169b59ea8f8|articleC
9992697cb2de4e6c8cb757a2df85c249|articleC
8d875e308d3740ad9a4b890403922f12|articleA
40e5ed525c134021978a251f1af2cd04|None
975f9af632a04460979d26626746e228|articleB
73681e7e070c4871b35bf4cb6e3899cc|None
4aa064dbcea94788986afc53dc7ad6b6|articleC
9659c6f2ebff4824aae3bf42509924de|articleA
1653b1b0d41c46ceb6341953c820770f|articleB
c5a0445fa6044ae483a6b077a40c014c|articleB
1682222f48504bebb8390ae0e106f2a7|None
9bf805eb56004cb9b49367ea64ea6afe|articleB
30f36813b2c1482e9fe5a991190ddbb2|articleC
69e5e480f9634833b37c89afae65a95b|articleC
337f9cd4f74e4a918a0bead0151d6c54|None
0590b4504a8c4f5baaec6e44999d29f2|None
b12173da5f694636af29f55927a6188d|None
3db9bee76bfa49129c254dbc98edd7bb|None
6fc9d6e539ae4d538b5b77cf382cc531|articleB
15ae3765df5d47fba98a667feffad5d4|articleC
6cf32a15729c4a22afdc4567cfe7b698|None
fe1746007cdc407bbf72d5be2e58c0d8|None
39137698ec5e4b3ab9b8c598b3a3b838|articleB
4a9d0e4780104ad9bd6aae3a741d0aef|articleA
f11a9e99c76c443d81d2fcf7543c3578|articleC
5b374d2a78e14090aec7088bcf44e3d1|None
db264dc9b34642bdb06d8f4a69f8eda1|None
1cc29ff1b56e4ad1ad3118ce059663df|articleA
5e7f058ffd564095a48894767f0dba76|None
9c5cda0224b840799b0a3cb819ac7293|None
95b7a5ed5a3449559f5d0d34a9877105|None
b833c73e867e4c0183a39320f9c88d0f|articleB
63b595cd55924d179abede0f5f7ce51c|articleA
4f9203c142424b58b77505d87fca272f|None
2fa7c2252dfb4505abdf34ad2f74612b|None
0e0fd11b84ff48e3863a7d3ae5238a43|articleC
c4fb2bb1d6484c7887181b6c58221f38|articleB
e428594991dd4007840ca3a9008e1069|articleA
f65724dc05a44f30b9cb56e15a075988|articleA
829055c87355465495fccf6ea086a321|None
094a894e0e1a495ea85a6f9ea365230d|articleB
e687dbc7eea249c9be6feecd2d806272|None
012d6a828adc4a82be3bfb5e15e03001|articleC
1e79be02e1b44d84bd328b0cded62a77|None
ccc78cf0a26c4998bfa48cc7ceb4c135|None
e6263196f73c4d91bb8cdb6c69b35ab8|articleC
003698a3b3ed40799cc6598d72a8adf8|articleA
a34d028641734102a22f9b91a869b963|None
c25032eb0f8946b0ac20f381ac2a0019|None
403dc290834643f9817d82d3b4933f84|articleC
220577b71e3c48798bf1e389df6495d6|articleC
ab3b0675bbeb4cabbcd44e1fb20133da|articleA
d344b8d7328747f798bc09a1d7370458|None
5b9c5b62573b470b8645ec5c2871fb04|articleB
c7f63e2b709445efae3e8d0ecb7810bb|None
ec40ae257cb845e3a29b6f9af04f8341|articleC
d044d36954be42128d8fd84a81f84bbc|articleA
9ab42a8b5fdb48a598d8f52b6ddc250a|articleB
b487052e2a45499ab265755b5644ab1a|articleA
f5f2ff4175c94ae6988e702a2221b9bc|articleC
37a418f4b1af442394f31edb10ee6abd|articleC
d86cf67b9bb9436a83a8c3c5813d4044|articleC
7d33653c8b6241f7affe9111bba90a31|None
1b9505ce219d4420854c95399e65720e|None
d8ac86237a534d87b533a576a9f2e737|None
dea3c2f9b9894689af31b2b3c66beeb3|articleC
62ea29dd9709474a9bdd7a523bd6e41b|articleA
f0e1a974bd574585981bb668bd268535|None
1d7bcf7f5ea4439aa3a65f44faa34f1e|None
75bd74eec5ce4035bd7591f805dce879|None
fa843f3ca43b41269340ed1987c27bbb|articleB
2027ccec59e646babd8a1b4c62fb02e3|articleC
b89b03a54cb040b889b5b5f59d25a48f|None
a285f6e117044a2e9d7612b978ad4561|articleB
25536ed9cd334c3fac16e28fb0b5423a|None
ea2fa5f02cf749c38000f273d0f7b1b9|articleC
d2da818e1aa047c786ed913438aed967|articleB
5519196213524f3bacd076973be25396|articleB
e75d8fc730ae471489fa3f64486f309b|articleC
9d542b6ec48c43328088abd0755fe207|articleA
c14e3584096f4b0387c39d0481d1692c|None
203f9cd5040a4209999f4de6e51dbd3a|articleB
d94d56909d1c4d38b7c791e16f080a66|articleA
55b7c59d93d34ad1a98dbe7d4cb378ac|None
f8020561624c4a9abbe0c01742362bed|articleC
9f7c6eb6adc94c3f856fda55bca785cb|None
b496af631e8b4c4aa8decd37b82dd805|None
d08f847de2ad47e5aa2a1aeb6c1addfe|articleA
6c967844971d429ba02e2b81c8008c37|articleC
c4fdd8d2e0d74420bc0f1a49035e859b|articleA
bbb7397f98d0432dbe9febbc8f39a4e4|articleC
a3ab6378246c417980728b9e6f7aadca|articleC
